ID,Artist,Track,Tags
"2YAoax0ADUsZO9L4CE35ia","Skepta","Ace Hood Flow","Grime, Hip-Hop, stoka"
"4xZUTExeeaGj3YiEa9RAHv","Skepta","Ace Hood Flow","Grime, Hip-Hop, stoka"
"5rzHkSHRyZUdQcCX6noFDB","ISOxo","SMACK TALK","EDM, bass music, hybrid trap, 2024, edm trap"
"3QuC9rZXdD44FNBg64LFrw","mikeeysmind","VVV","trap, rage, Hypertrap, MySpotigramBot"
"7FUx1SDHG4Im52aKu3iCXC","Homixide Gang","V-Friends","PLUGNB"
"6UhQ7u4SfnkL6upfxj9bQe","Bradley Joseph","Xerxes in G Major, Hwv 40: I. Largo","baroque, piano, Handel"
"6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","MySpotigramBot, Diss, Hip-Hop, diss track, hip hop"
"1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","dance, pop, Rihanna, rnb, female vocalists"
"4evMMKc2HD6fV9slMfgkMx","Playboi Carti","TOXIC","rap, Gangsta Rap, memphis rap, plugg, Southern Hip Hop"
"5vqGU4eGav3JMlwRClgHAv","Playboi Carti","HBA","trap, memphis rap, Gangsta Rap, Hip-Hop, hip hop"
"7fw1teEGCnhl2uPGIGwCHg","Lil Uzi Vert","Sauce It Up","MySpotigramBot, trap, rap, cloud rap, 2017"
"2pPJp3u3mjcqx965L6Ge0C","Drakeo the Ruler","Dawn Toliver","MySpotigramBot, -1001747063611"
"1jKXjxMWlq4BhH6f9GtZbu","Don Toliver","TORE UP","MySpotigramBot, Hip-Hop, skramz, 2024, don toliver"
"12CkTEyYY37XIekrd2bsfs","X-Clan","Aragorn","Hip-Hop, excellence, DL, prolific, lotr"
"3OndGj3vJlBP7lPccg6tNN","SOUL'd OUT","MEGALOPOLIS PATROL","Hip-Hop, j-urban, japan"
"730Sd7tP4eRKvPhQceOPYn","Destroy Lonely","JETLGGD","rage, MySpotigramBot, repetitive, bass, insane"
"2WBHjwYSh04TLOwxgtny1O","Tyler, The Creator","Steak Sauce","rap, Hip-Hop, tyler the creator, hip hop, experimental"
"0WtM2NBVQNNJLh6scP13H8","Rema","Calm Down","afrobeats, summer, 2022, MySpotigramBot, pop"
"0d28khcov6AiegSCpG5TuT","Gorillaz","Feel Good Inc.","alternative, electronic, Hip-Hop, rock, gorillaz"
"7Cq27Qc3WRyQ3ddwVslpVZ","Scarlxrd","Heart Attack","Trap Metal, Hip-Hop, rap, trap, post-nerdcore"
"7wTqEW5nrMhvyEhEyTnOMd","Conan Gray","The Cut That Always Bleeds","seen live, rock, male vocalist, peter, my top songs"
"7C46d7mrdoSsgd3rNOa4A7","Knock2","feel U luv Me","House, electro house, EDM, 2024, bass house"
"0xDSZ754ZOdthmF784uuE5","Knock2","feel U luv Me","House, electro house, EDM, 2024, bass house"
"4wCmqSrbyCgxEXROQE6vtV","Gotye","Somebody That I Used To Know","indie, alternative, electronic, australian, love at first listen"
"1RyioERbWD1Xv5z58Vw9wy","Machine Girl","It Takes a Nation of Millenials to Destroy a Nation of Millions…","electronic, breakcore, anarchism, cannibalism, hardcore breaks"
"0LV2sJDzws0khtyPJ6VD0l","TYNAN","Stay","Colour Bass, dubstep, EDM, festival, bass music"
"7vtRIoGjWGl49gUSULroi8","Kompany","Rapture","dubstep, trap"
"1RyioERbWD1Xv5z58Vw9wy","Machine Girl","It Takes a Nation of Millenials to Destroy a Nation of Millions…","electronic, breakcore, anarchism, cannibalism, hardcore breaks"
"0BgPrNelWyvk0C5recZeKE","Kero Kero Bonito","Sick Beat","electronic, electropop, pop, bitpop, picopop"
"29Dvkvp7Wgd1VJdDvVJlvf","Marshmello","Crusade","electronic, dubstep, Progressive House, english, trap"
"2YAoax0ADUsZO9L4CE35ia","Skepta","Ace Hood Flow","Grime, Hip-Hop, stoka"
"4xZUTExeeaGj3YiEa9RAHv","Skepta","Ace Hood Flow","Grime, Hip-Hop, stoka"
"3c92PetFi2et11Yz5NikgP","monte booker","Kompany","Hip-Hop, electronic, rap, soulection, Ghetto Sage"
